Boetsch: 208	393	0	0	208	393	187	280
Carlos Jr: -139	-31	0	0	-139	-31	-187	-94

Salikhov: -122	-78	0	0	-122	-78	-140	-93
Rainey: 113	221	0	0	113	221	140	187

Reis: -89	-18	0	0	-89	-18	-92	-46
Moraga: 65	185	0	0	65	185	92	138

Jotko: 73	177	0	0	73	177	69	122
Tavares: -64	7	0	0	-64	7	-69	-15

Burns: -179	-77	0	0	-179	-77	-226	-123
Moret: 329	525	0	0	329	525	226	329

Dobson: -25	80	0	0	-25	80	9	52
Mueller: -30	69	0	0	-30	69	-9	33

Lima: 131	280	0	0	131	280	134	214
Okami: -90	4	0	0	-90	4	-134	-55

Bhullar: -249	-107	0	0	-249	-107	-217	-127
Wieczorek: 284	562	0	0	284	562	217	307

Lopez: -7	145	0	0	-7	145	-5	77
Perez: 26	183	0	0	26	183	5	87

Sanders: -163	-71	0	0	-163	-71	-196	-114
Williams: 238	421	0	0	238	421	196	277

Barboza: 165	276	0	0	165	276	136	205
Lee: -88	-23	0	0	-88	-23	-136	-67

Edgar: -140	-75	0	0	-140	-75	-240	-148
Swanson: 292	434	0	0	292	434	240	332

Willis: -79	5	0	0	-79	5	-71	-17
Sherman: 38	170	0	0	38	170	71	125

Branch: -15	89	0	0	-15	89	4	56
Santos: -16	90	0	0	-16	90	-4	48

Sterling: -137	-77	0	0	-137	-77	-201	-127
Johns: 229	367	0	0	229	367	201	276

Miller: 246	428	0	0	246	428	253	347
Hooker: -172	-89	0	0	-172	-89	-253	-159

LaFlare: -139	-87	0	0	-139	-87	-179	-119
Garcia: 160	288	0	0	160	288	179	238

Bahadurzada: -13	101	0	0	-13	101	-20	35
Chagas: -4	111	0	0	-4	111	20	76

Anderson: -158	-95	0	0	-158	-95	-217	-145
Cummins: 203	352	0	0	203	352	217	290

Dvalishvili: 72	218	0	0	72	218	120	180
Simon: -117	-23	0	0	-117	-23	-120	-60

Martin: -42	67	0	0	-42	67	-32	21
Nakamura: -6	120	0	0	-6	120	32	85

Test: 510	1155	0	0	510	1155	79	224
Second: -414	-1	0	0	-414	-1	-79	66

Nunes: -279	-188	0	0	-279	-188	-395	-263
Pennington: 521	752	0	0	521	752	395	527

Souza: -136	-63	0	0	-136	-63	-185	-110
Gastelum: 239	388	0	0	239	388	185	261

Dern: -185	-63	0	0	-185	-63	-219	-118
Cooper: 289	508	0	0	289	508	219	321

Lineker: -250	-169	0	0	-250	-169	-320	-214
Kelleher: 467	678	0	0	467	678	320	427

Belfort: -3	212	0	0	-3	212	94	183
Machida: 45	272	0	0	45	272	-94	-6

Ferreira: -92	1	0	0	-92	1	-124	-52
